date,spx_yoy
2018-12-08,-0.6946981661323792
2018-12-15,-2.8350333454439047
2018-12-22,-9.939849663737322
2018-12-29,-7.026832995057031
2019-01-05,-7.699541346867045
2019-01-12,-6.818507419842512
2019-01-19,-4.967088405696507
2019-01-26,-7.243978980351951
2019-02-02,-2.0129340716958377
2019-02-09,3.3719467976528916
2019-02-16,1.587724539688562
2019-02-23,1.65143494487352
2019-03-02,4.1779820308871285
2019-03-09,-1.5610588979594997
2019-03-16,2.5606727611113156
2019-03-23,8.208215185889035
2019-03-30,7.328258360632933
2019-04-06,11.068279641305523
2019-04-13,9.453369674560363
2019-04-20,8.796922489778414
2019-04-27,10.111576030287628
2019-05-04,10.59615002445604
2019-05-11,5.634006910211209
2019-05-18,5.402199809670782
2019-05-25,3.848485022475079
2019-06-01,0.6377464020189683
2019-06-08,3.393632224176124
2019-06-15,3.8609064329000686
2019-06-22,7.099404926697894
2019-06-29,8.217787973966196
2019-07-06,8.355249184309255
2019-07-13,7.584307216751096
2019-07-20,6.238066707237255
2019-07-27,7.344918584427518
2019-08-03,3.2284735338626858
2019-08-10,3.013111029059168
2019-08-17,1.3525716515797592
2019-08-24,-0.9594020414905535
2019-08-31,0.8595474523136026
2019-09-07,3.727087692385256
2019-09-14,3.5253224737490374
2019-09-21,2.129937779626667
2019-09-28,1.6407133512996497
2019-10-05,2.3024892770677097
2019-10-12,7.341185463700728
2019-10-19,7.891520264003327
2019-10-26,13.685691654191912
2019-11-02,12.627332710876637
2019-11-09,11.221465124667972
2019-11-16,14.04064433202632
2019-11-23,18.146973661977594
2019-11-30,13.796616490011715
2019-12-07,19.476423761086604
2019-12-14,21.879271075962524
2019-12-21,33.29442835442546
2019-12-28,30.344285092575408
2020-01-04,27.76172312600751
2020-01-11,25.77130508400145
2020-01-18,24.67172272120117
2020-01-25,23.66854645919778
2020-02-01,19.175475040607726
2020-02-08,22.88986605569898
2020-02-15,21.781229038132068
2020-02-22,19.51824216157394
2020-02-29,5.368997016174104
2020-03-07,8.35924869266169
2020-03-14,-3.9490080251690207
2020-03-21,-17.70229855920321
2020-03-28,-10.334813072721417
2020-04-04,-13.969111958032732
2020-04-11,-4.044487956797482
2020-04-18,-1.0488693884689315
2020-04-25,-3.5083029473794047
2020-05-02,-3.9016966035191225
2020-05-09,1.6797441564777582
2020-05-16,0.14582542698546863
2020-05-23,4.578455160026196
2020-05-30,10.619317666684003
2020-06-06,11.15739292752329
2020-06-13,5.345727340303275
2020-06-20,4.991765055170494
2020-06-27,2.287407498882321
2020-07-04,4.668259595146229
2020-07-11,5.682916029468266
2020-07-18,8.33565243994212
2020-07-25,6.271597782235694
2020-08-01,11.564266049786355
2020-08-08,14.822953811819373
2020-08-15,16.76094885807029
2020-08-22,19.31958315393649
2020-08-29,19.872134134438113
2020-09-05,15.048460772559435
2020-09-12,11.092013009295387
2020-09-19,10.942253853141604
2020-09-26,11.367109667961707
2020-10-03,13.428474524070054
2020-10-10,17.064774236480563
2020-10-17,16.663656672641693
2020-10-24,14.651199702108952
2020-10-31,6.620672098205516
2020-11-07,13.461011443765925
2020-11-14,14.89171299178087
2020-11-21,14.379687887075953
2020-11-28,15.834870654389665
2020-12-05,17.5850618909551
2020-12-12,15.61032266116975
2020-12-19,15.155436320596527
2020-12-26,14.291270926452192
2021-01-02,16.112646798711474
2021-01-09,17.129245479247125
2021-01-16,13.173571379758675
2021-01-23,16.56819831022478
2021-01-30,15.151664467863025
2021-02-06,16.80194859981072
2021-02-13,16.409583582969756
2021-02-20,17.046212596434728
2021-02-27,29.006977819484092
2021-03-06,29.255099127478434
2021-03-13,45.45595604168389
2021-03-20,69.77162896284187
2021-03-27,56.38744840108816
2021-04-03,61.52814879271222
2021-04-10,47.99520053332853
2021-04-17,45.603853442926635
2021-04-24,47.35823291050476
2021-05-01,47.70746489655346
2021-05-08,44.467200051731346
2021-05-15,45.75025906426542
2021-05-22,40.61682423799451
2021-05-29,38.0972956881811
2021-06-05,32.43528277860446
2021-06-12,39.658234759865095
2021-06-19,34.4996742285419
2021-06-26,42.26085062890925
2021-07-03,39.05194648485815
2021-07-10,37.18979199940149
2021-07-17,34.18674377260571
2021-07-24,37.198315721702315
2021-07-31,34.365587571392275
2021-08-07,32.382850157170154
2021-08-14,32.46956937412533
2021-08-21,30.746565860571007
2021-08-28,28.54496152047119
2021-09-04,32.345584059304564
2021-09-11,33.45166575043079
2021-09-18,33.545122368918754
2021-09-25,35.07758266686365
2021-10-02,30.12227082386689
2021-10-09,26.2917219155667
2021-10-16,28.34712690944987
2021-10-23,31.151184808313403
2021-10-30,40.83902976879674
2021-11-06,33.85411528866131
2021-11-13,30.617972057315956
2021-11-20,32.056418461997936
2021-11-27,26.283067705531128
2021-12-04,22.689451329087706
2021-12-11,28.622124160609562
2021-12-18,24.56536878371578
2021-12-25,27.618509132610058
2022-01-01,26.89273866137125
2022-01-08,22.28552110895208
2022-01-15,23.740465671233334
2022-01-22,14.485860229209901
2022-01-29,19.32050996458612
2022-02-05,15.789208550307855
2022-02-12,12.295576911526807
2022-02-19,11.317967309349331
2022-02-26,15.047951791329783
2022-03-05,12.67407047500646
2022-03-12,6.617992992907773
2022-03-19,14.055863785868517
2022-03-26,14.304045598829852
2022-04-02,13.084744799211535
2022-04-09,8.706645937655445
2022-04-16,4.948539071469238
2022-04-23,2.1915344350441845
2022-04-30,-1.177654747685286
2022-05-07,-2.581397991432066
2022-05-14,-3.5928507629522266
2022-05-21,-6.12387722954727
2022-05-28,-1.091066370716809
2022-06-04,-2.86887114638833
2022-06-11,-8.159734775899597
2022-06-18,-11.799255586325385
2022-06-25,-8.619155470923845
2022-07-02,-12.108653840112938
2022-07-09,-10.760145618906048
2022-07-16,-10.72297366831776
2022-07-23,-10.20357161751193
2022-07-30,-6.028533936374103
2022-08-06,-6.566635039230162
2022-08-13,-4.204344173147945
2022-08-20,-4.799770022448091
2022-08-27,-10.017146371650176
2022-09-03,-13.475461914929554
